0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:21:13 +0700] "GET /MVC/teacher/question?testsID=1 HTTP/1.1" 200 45250
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:21:13 +0700] "GET /MVC/data/02_callerid-768x512_9a434619-5683-443d-ab6f-c0f093eef94a.webp HTTP/1.1" 200 12196
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:21:13 +0700] "GET /MVC/ HTTP/1.1" 200 43605
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:21:13 +0700] "GET /MVC/ HTTP/1.1" 200 43605
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:21:13 +0700] "GET /MVC/data/z5375641095319_b0ce4bde9e7730c6331ce1b3076104d3_ef588712-18c3-4cda-887e-40e3e9bd7217.jpg HTTP/1.1" 200 100574
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:21:13 +0700] "GET /MVC/data/ets-test-02-part-1-2.mp3 HTTP/1.1" 200 497620
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:21:13 +0700] "GET /MVC/data/ets-test-02-part-1-1_6f3a9870-173c-420d-9e0f-1044a20ca48d.mp3 HTTP/1.1" 200 466313
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:21:13 +0700] "GET /MVC/data/ets-test-01-part-1-3_d597830c-a7b0-4ca0-a7cb-c90b36d4d31d.mp3 HTTP/1.1" 200 504299
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:21:13 +0700] "GET /MVC/ HTTP/1.1" 200 43605
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:23:04 +0700] "GET /MVC/tests HTTP/1.1" 200 26691
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:23:05 +0700] "GET /MVC/vocab-lists HTTP/1.1" 200 26368
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:23:06 +0700] "GET /MVC/vocab-lists/vocab?listID=104 HTTP/1.1" 200 126607
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:23:06 +0700] "GET /MVC/data/MEDIA_1748ed09-eb29-411e-9d59-7d18338bb072.webp HTTP/1.1" 200 34828
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:23:06 +0700] "GET /MVC/data/11_iconic-canada-printing-tri-fold-mockup2048x2048-157346198382155702592.webp HTTP/1.1" 200 24229
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:23:06 +0700] "GET /MVC/data/02_callerid-768x512_28dc9bd0-8c49-4441-9a5b-e872b42f0f38.webp HTTP/1.1" 200 12196
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:23:06 +0700] "GET /MVC/data/04_candidate-election_01d502ca-0365-4bad-806d-84dfc73ce57f.jpg HTTP/1.1" 200 23940
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:23:06 +0700] "GET /MVC/data/images_cafeteria-la-gi-6.jpg HTTP/1.1" 200 33571
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:23:06 +0700] "GET /MVC/data/xe-dap-1-1_8c952ba9-530c-41d7-bbeb-385dbf1afca1.jpg HTTP/1.1" 200 97042
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:23:06 +0700] "GET /MVC/data/02_Accounting.jpg.webp HTTP/1.1" 200 32323
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:23:06 +0700] "GET /MVC/data/01_shutterstock_758602234-min-1038x778%20(1).jpg HTTP/1.1" 200 54238
