127.0.0.1 - - [05/Apr/2024:23:57:49 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [05/Apr/2024:23:57:57 +0700] "GET /MVC/ HTTP/1.1" 200 12018
0:0:0:0:0:0:0:1 - - [05/Apr/2024:23:57:57 +0700] "GET /MVC/header.css HTTP/1.1" 200 12018
0:0:0:0:0:0:0:1 - - [05/Apr/2024:23:57:58 +0700] "GET /favicon.ico HTTP/1.1" 404 685
0:0:0:0:0:0:0:1 - - [05/Apr/2024:23:58:02 +0700] "GET /MVC/create_new_student HTTP/1.1" 200 7661
0:0:0:0:0:0:0:1 - - [05/Apr/2024:23:58:02 +0700] "GET /MVC/header.css HTTP/1.1" 200 12018
0:0:0:0:0:0:0:1 - - [05/Apr/2024:23:58:08 +0700] "POST /MVC/create_new_student HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2024:23:58:08 +0700] "GET /MVC/student HTTP/1.1" 200 12019
0:0:0:0:0:0:0:1 - - [05/Apr/2024:23:58:08 +0700] "GET /MVC/header.css HTTP/1.1" 200 12019
